Import_Type;IOP_ID;MBLID;Manager;Client_name;Organization_Type;Investment_Pool;Country;Existing_Client_(Is_this_a_cross_sale?);Decision_date;Fee_re_negotiation_with_existing_client;Strategy_name_or_mutual_fund_ticker;Asset_class;Product;Benchmark;Size_of_mandate_(in_millions_USD);Vehicle;Consultant_used_by_investor;Name_of_lead_consultant_used_by_investor;Delegated/fiduciary_account;Negotiated_Fee_Max_Break_point_#1;Negotiated_Fee_Max_Break_point_#1_BPs;Negotiated_Fee_Max_Break_point_#2;Negotiated_Fee_Max_Break_point_#2_BPs;Negotiated_Fee_Max_Break_point_#3;Negotiated_Fee_Max_Break_point_#3_BPs;Negotiated_Fee_Max_Break_point_#4;Negotiated_Fee_Max_Break_point_#4_BPs;Negotiated_Fee_Max_Break_point_#5;Negotiated_Fee_Max_Break_point_#5_BPs;Negotiated_Fee_Max_Break_point_#6;Negotiated_Fee_Max_Break_point_#6_BPs;Published_Fee_Max_Break_point_#1;Published_Fee_Max_Break_point_#1_BPs;Published_Fee_Max_Break_point_#2;Published_Fee_Max_Break_point_#2_BPs;Published_Fee_Max_Break_point_#3;Published_Fee_Max_Break_point_#3_BPs;Published_Fee_Max_Break_point_#4;Published_Fee_Max_Break_point_#4_BPs;Published_Fee_Max_Break_point_#5;Published_Fee_Max_Break_point_#5_BPs;Published_Fee_Max_Break_point_#6;Published_Fee_Max_Break_point_#6_BPs;Minimum_required_asset_level_(in_Millions_USD);Performance_fee_included;Recent_investment_performance_1_Year;Recent_investment_performance_3_Year;Recent_investment_performance_5_Year;Seed/scale_discount_offered;Relationship/strategic_acct_discount_offered;Pricing_impacted_by_MFN;Custom_servicing_commitments;Custom_reporting;Additional_commentary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Corpoate DB 9;Corporation;Defined Benefit;United States;No;2013-07-10;No;;Equity;EAFE/International Core Equity;;45.8;Separate Account;;;No;45.8;49.5;;;;;;;;;;;25;75;75;65;150;60;151;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2005;Loomis;33162;Public;Defined Benefit;United States;Yes;2018-08-28;No;Large Cap Growth;Equity ;Large Cap Growth Equity;Russell 1000 - Growth;370;Separate Account;Yes;Russell Investments;No;370;40;;;;;;;;;;;20;57.5;50;50;100;45;370;40;;;;;200;No;3rd Quartile;1st Quartile;1st Quartile;Yes;Yes;Yes;No;No;Multi-product, large relationship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Corporate DB 11;Corporation;Defined Benefit;United States;No;2013-05-01;No;;Equity;Global ex. U.S. Equity (ACWI ex. U.S.);;259.34;Separate Account;;;No;50;50;150;45;259.34;40;;;;;;;25;75;75;65;150;60;259.34;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Corporate DB 12 (Multiple Accounts);Corporation;Defined Benefit;United States;No;2013-01-16;No;;Equity;Global ex. U.S. Equity (ACWI ex. U.S.);;49.41;Separate Account;;;No;49.41;20;;;;;;;;;;;25;75;75;65;150;60;151;55;;;;;;Yes;;;;No;;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Corporate DB 12 (Multiple Accounts);Corporation;Defined Benefit;United States;No;2013-01-16;No;;Equity;Global ex. U.S. Equity (ACWI ex. U.S.);;12.52;Separate Account;;;No;12.52;20;;;;;;;;;;;25;75;75;65;150;60;151;55;;;;;;Yes;;;;No;;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Corporate DB 13;Corporation;Defined Benefit;United States;No;2013-03-26;No;;Equity;Global Core Equity;;75.42;Separate Account;;;No;50;49.5;75.42;45;;;;;;;;;25;75;75;65;150;60;151;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Corporate DB 2;Corporation;Defined Benefit;United States;No;2012-08-31;No;;Equity;Global ex. U.S. Equity (ACWI ex. U.S.) ;;652.25;Separate Account;;;No;50;49.5;150;45;650;40.5;652.25;36;;;;;25;75;75;65;150;60;652.25;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Corporate DB 3;Corporation;Defined Benefit;United States;No;2013-08-29;No;;Equity;Global Core Equity;;74.1;Separate Account;;;No;50;49.5;74.1;45;;;;;;;;;25;75;75;65;150;60;151;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Corporate DB 4;Corporation;Defined Benefit;United States;No;2014-08-01;No;;Equity;Global Core Equity;;251.43;Separate Account;;;No;50;49.5;150;45;251.43;40.5;;;;;;;25;75;75;65;150;60;251.43;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Corporate DB 5;Corporation;Defined Benefit;United States;No;2015-10-01;No;;Equity;Global Core Equity;;156.82;Separate Account;;;No;50;49.5;150;45;156.82;40.5;;;;;;;25;75;75;65;150;60;156.82;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
